Record ID,Date,Country,City,Temperature (°C),Humidity (%),Precipitation (mm),Air Quality Index (AQI),Extreme Weather Events,Climate Classification,Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
usa_123,5/2/2024,USA,New York,29.4,33,82.1,92,None,Koeppen-A,Temperate,Wetland,31,21.1,E,Spring,9015232,73393878.69,5
usa_124,5/3/2024,USA,New York,26,90,197.1,216,None,Koeppen-C,Temperate,Forest,30.5,25.1,W,Spring,6028817,22026977.13,6
usa_125,5/4/2024,USA,New York,25.9,46,11.4,196,None,Koeppen-C,Temperate,Wetland,28.2,25,NW,Spring,5394234,22988562.88,7
usa_126,5/5/2024,USA,New York,-4.3,23,175.2,316,None,Koeppen-C,Temperate,Wetland,-3.1,28.6,E,Spring,9969734,69495790.1,2
usa_127,5/6/2024,USA,New York,31.5,17,25.4,449,None,Koeppen-C,Temperate,Tundra,32.4,17.5,E,Spring,718007,48090431.78,9
usa_128,5/7/2024,USA,New York,38.9,50,54.8,185,None,Koeppen-C,Temperate,Tundra,41.4,5.2,E,Spring,2527610,52518309.32,1
usa_129,5/8/2024,USA,New York,14.1,77,167.5,212,Heatwave,Koeppen-C,Temperate,Forest,17.9,13.1,E,Spring,955638,93965246.51,1
usa_130,5/9/2024,USA,New York,43.6,86,34.8,490,Drought,Koeppen-A,Temperate,Grassland,47.9,39.2,NW,Spring,8870849,71042367.86,4
usa_131,5/10/2024,USA,New York,-0.3,21,111.5,446,None,Koeppen-A,Temperate,Forest,0.8,14.4,NE,Spring,8028525,92146989.28,3
usa_132,5/11/2024,USA,New York,25.7,18,61.7,118,None,Koeppen-A,Temperate,Wetland,26.6,12.5,NE,Spring,7687946,43631032.88,3
usa_133,5/12/2024,USA,New York,6.7,48,112,134,None,Koeppen-B,Temperate,Tundra,9.1,9.6,SW,Spring,4794012,4902895.93,8
usa_134,5/13/2024,USA,New York,-8.5,12,141,33,None,Koeppen-C,Temperate,Tundra,-7.9,23.6,S,Spring,630553,95749499.58,3
usa_135,5/14/2024,USA,New York,19.1,44,164.7,287,None,Koeppen-C,Temperate,Wetland,21.3,28.9,NE,Spring,1550218,6681410.89,6
usa_136,5/15/2024,USA,New York,8.2,20,79.5,373,None,Koeppen-B,Temperate,Grassland,9.2,25.1,NE,Spring,1682595,31442801.71,1
usa_137,5/16/2024,USA,New York,0.2,36,132.7,53,Flood,Koeppen-A,Temperate,Tundra,2,15,E,Spring,4563475,93115687.39,4
usa_138,5/17/2024,USA,New York,25.9,94,148.2,142,None,Koeppen-A,Temperate,Grassland,30.6,32.2,SE,Spring,620275,17785079.46,6
usa_139,5/18/2024,USA,New York,33.9,80,53.3,29,None,Koeppen-B,Temperate,Tundra,37.9,7.2,E,Spring,3490116,27255434.7,2
usa_140,5/19/2024,USA,New York,13.9,31,186.2,136,None,Koeppen-A,Temperate,Desert,15.5,22.1,NW,Spring,4114504,22834941.32,4
usa_141,5/20/2024,USA,New York,41.9,70,51.1,126,None,Koeppen-A,Temperate,Desert,45.4,37.9,SW,Spring,7630985,88874256.43,1
usa_142,5/21/2024,USA,New York,37.8,38,31.7,92,None,Koeppen-A,Temperate,Wetland,39.7,1.2,SW,Spring,175496,89344335.84,10
usa_143,5/22/2024,USA,New York,34.6,81,175.9,248,Drought,Koeppen-A,Temperate,Tundra,38.6,36.4,N,Spring,5336381,36816022.81,10
usa_144,5/23/2024,USA,New York,-5.6,83,55.3,308,None,Koeppen-C,Temperate,Desert,-1.4,22.8,SW,Spring,6117281,96646248.53,2
usa_145,5/24/2024,USA,New York,10.6,83,114.4,444,None,Koeppen-C,Temperate,Grassland,14.8,11.8,SW,Spring,69878,45350524.03,5
usa_146,5/25/2024,USA,New York,9,14,154.2,365,None,Koeppen-A,Temperate,Wetland,9.7,9.9,SW,Spring,4870819,37088717.2,4
usa_147,5/26/2024,USA,New York,28.7,55,146,205,None,Koeppen-B,Temperate,Desert,31.4,11.1,W,Spring,913778,28564976.52,4
usa_148,5/27/2024,USA,New York,43.4,33,108.7,273,None,Koeppen-B,Temperate,Tundra,45,7,NW,Spring,7842522,97624648.88,4
usa_149,5/28/2024,USA,New York,44.3,86,118.3,34,None,Koeppen-A,Temperate,Forest,48.6,6.5,NE,Spring,8399946,29945178.46,6
usa_150,5/29/2024,USA,New York,37.9,46,16,427,None,Koeppen-C,Temperate,Desert,40.2,27.6,SW,Spring,7250316,68978478.84,4
usa_151,5/30/2024,USA,New York,35.4,20,128.6,113,None,Koeppen-B,Temperate,Desert,36.4,37,S,Spring,7053439,50515963.52,9
usa_152,5/31/2024,USA,New York,33,95,170.2,162,None,Koeppen-C,Temperate,Desert,37.8,25.4,NW,Spring,4894003,24474370.86,5
usa_153,6/1/2024,USA,New York,-8.5,28,24.9,450,None,Koeppen-B,Temperate,Desert,-7.1,10.9,NE,Summer,4521322,94751908.06,6
usa_154,6/2/2024,USA,New York,43,65,91.1,445,None,Koeppen-B,Temperate,Wetland,46.2,36.1,S,Summer,6049823,82313031.49,10
usa_155,6/3/2024,USA,New York,36.4,68,114.8,169,None,Koeppen-C,Temperate,Grassland,39.8,21.4,W,Summer,3406983,7112153.28,4
usa_156,6/4/2024,USA,New York,33.2,54,145.6,420,Hurricane,Koeppen-D,Temperate,Desert,35.9,8,E,Summer,8200167,85797032.61,2
usa_157,6/5/2024,USA,New York,0.6,61,18.5,143,None,Koeppen-C,Temperate,Desert,3.7,10.6,NE,Summer,9323908,48132619.81,7
usa_158,6/6/2024,USA,New York,15.7,69,48.4,344,None,Koeppen-A,Temperate,Wetland,19.1,24,S,Summer,6052303,37563843.05,6
usa_159,6/7/2024,USA,New York,21.6,42,150.5,491,None,Koeppen-A,Temperate,Tundra,23.7,31.3,NE,Summer,8407527,59404689.26,1
usa_160,6/8/2024,USA,New York,9,35,176.6,373,None,Koeppen-A,Temperate,Grassland,10.8,17.8,SE,Summer,4481382,4489676.24,10
usa_161,6/9/2024,USA,New York,3.6,31,33.9,18,Heatwave,Koeppen-C,Temperate,Forest,5.2,0.5,W,Summer,3677114,77410359.69,8
usa_162,6/10/2024,USA,New York,42.8,25,163.7,218,None,Koeppen-C,Temperate,Grassland,44,6.5,NE,Summer,5112930,3463216.93,1
usa_163,6/11/2024,USA,New York,1.9,79,174.1,121,None,Koeppen-C,Temperate,Wetland,5.8,0.8,SE,Summer,1793649,44770079.79,1
usa_164,6/12/2024,USA,New York,19,45,43.4,467,None,Koeppen-D,Temperate,Grassland,21.2,10.6,N,Summer,4931177,48799501.9,3
usa_165,6/13/2024,USA,New York,41.3,61,84.9,357,None,Koeppen-B,Temperate,Forest,44.3,31.6,S,Summer,4876238,88351863.89,3
usa_166,6/14/2024,USA,New York,17,86,59.3,133,None,Koeppen-B,Temperate,Tundra,21.3,11.1,SE,Summer,3854537,17357136.79,2
usa_167,6/15/2024,USA,New York,28.2,49,112.3,76,None,Koeppen-B,Temperate,Desert,30.6,22.3,SE,Summer,2272468,30521853.35,3
usa_168,6/16/2024,USA,New York,24,56,62,58,None,Koeppen-B,Temperate,Grassland,26.8,11.2,S,Summer,1593023,85020052.79,7
usa_169,6/17/2024,USA,New York,13.7,45,11.1,144,Heatwave,Koeppen-B,Temperate,Tundra,15.9,12.1,S,Summer,124861,6747032.49,3
usa_170,6/18/2024,USA,New York,-3.5,84,199.4,388,None,Koeppen-C,Temperate,Tundra,0.7,19.3,SE,Summer,9976998,36560605.64,10
usa_171,6/19/2024,USA,New York,5.3,66,199,174,Hurricane,Koeppen-C,Temperate,Desert,8.6,33.7,E,Summer,4718369,84651421.76,7
usa_172,6/20/2024,USA,New York,1.8,40,16.8,31,Heatwave,Koeppen-A,Temperate,Wetland,3.8,25.5,NW,Summer,599209,88967710.66,8
usa_173,6/21/2024,USA,New York,13.3,56,117.6,384,None,Koeppen-D,Temperate,Desert,16.1,17.9,SW,Summer,1222617,92755267.74,10
usa_174,6/22/2024,USA,New York,35.8,75,115.4,188,None,Koeppen-A,Temperate,Desert,39.5,7.7,SW,Summer,9722895,39801551.36,2
usa_175,6/23/2024,USA,New York,42.6,52,193.6,103,None,Koeppen-B,Temperate,Desert,45.2,0.5,N,Summer,3911932,33728915.61,10
usa_176,6/24/2024,USA,New York,34.6,45,197.8,285,None,Koeppen-C,Temperate,Wetland,36.9,10.1,W,Summer,8496986,85394257.39,8
usa_177,6/25/2024,USA,New York,39.4,57,199.7,455,None,Koeppen-D,Temperate,Desert,42.2,37.9,SE,Summer,1828080,50466273.91,5
usa_178,6/26/2024,USA,New York,24.9,22,3.3,83,None,Koeppen-D,Temperate,Grassland,26,23,W,Summer,7138649,71971477.56,1
usa_179,6/27/2024,USA,New York,9.5,14,146.5,157,None,Koeppen-C,Temperate,Tundra,10.2,33.8,W,Summer,9543538,50669986.33,2
